# This file was produced by: bcftools roh(1.15.1+htslib-1.15.1)
# The command line was:	bcftools roh -G30 --estimate-AF - --rec-rate 1e-9 --skip-indels -O r -o /projects/mjolnir1/people/qvw641/CottonTop/ROHs///BcfToolsRoh_alt04recomb_1e-9_final_AF.txt /projects/mjolnir1/people/qvw641/CottonTop/VCF/Filter/CTT_onlyCTT_filter.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	TLP9_01	CM038397.1	143474039	143590378	116340	477	78.8
RG	TLP9_01	CM038397.1	144249124	144812540	563417	1540	89.9
RG	TLP9_01	CM038397.1	145648945	145987360	338416	1098	85.8
RG	TLP9_01	CM038397.1	147875206	147960492	85287	284	76.0
RG	TLP9_01	CM038397.1	151890726	151951833	61108	164	50.6
RG	TLP9_01	CM038397.1	152848053	153134839	286787	706	75.6
RG	TLP9_01	CM038397.1	157499469	157666080	166612	561	72.9
RG	TLP9_01	CM038397.1	157669949	158303588	633640	1536	87.7
RG	TLP9_01	CM038397.1	161110613	161438721	328109	817	30.1
RG	04_NHS_Z_1866_23_31	CM038399.1	567441	639215	71775	212	62.7
RG	04_NHS_Z_1866_23_31	CM038399.1	1565706	1917789	352084	490	32.5
RG	04_NHS_Z_1866_23_31	CM038399.1	3385291	4087335	702045	1414	87.6
RG	04_NHS_Z_1866_23_31	CM038399.1	4455013	4938073	483061	760	87.0
RG	04_NHS_Z_1866_23_31	CM038399.1	7133760	7559527	425768	608	87.3
RG	04_NHS_Z_1866_23_31	CM038399.1	7611674	8117957	506284	676	89.3
RG	04_NHS_Z_1866_23_31	CM038399.1	8183985	8583292	399308	771	80.4
RG	04_NHS_Z_1866_23_31	CM038399.1	10977285	11257695	280411	268	68.9
RG	04_NHS_Z_1866_23_31	CM038399.1	11387298	13837072	2449775	2555	85.8
RG	04_NHS_Z_1866_23_31	CM038399.1	13993239	14418242	425004	735	12.0
RG	04_NHS_Z_1866_23_31	CM038399.1	16474080	30824335	14350256	19975	98.0
RG	04_NHS_Z_1866_23_31	CM038399.1	30924886	37829969	6905084	9167	92.7
RG	04_NHS_Z_1866_23_31	CM038399.1	39052002	39885605	833604	1152	89.8
RG	04_NHS_Z_1866_23_31	CM038399.1	40951178	43467625	2516448	2975	96.1
RG	04_NHS_Z_1866_23_31	CM038399.1	43614089	43905633	291545	352	16.4
RG	04_NHS_Z_1866_23_31	CM038399.1	44680227	45084445	404219	378	75.7
RG	04_NHS_Z_1866_23_31	CM038399.1	45174312	45405246	230935	329	41.7
RG	04_NHS_Z_1866_23_31	CM038399.1	46269030	46691586	422557	556	46.7
RG	04_NHS_Z_1866_23_31	CM038399.1	48405939	48695870	289932	421	83.0
RG	04_NHS_Z_1866_23_31	CM038399.1	48803660	48845575	41916	85	60.8
RG	04_NHS_Z_1866_23_31	CM038399.1	49945608	50390451	444844	785	79.8
RG	04_NHS_Z_1866_23_31	CM038399.1	53085961	53991781	905821	1266	35.6
RG	04_NHS_Z_1866_23_31	CM038399.1	54461393	54815530	354138	463	68.6
RG	04_NHS_Z_1866_23_31	CM038399.1	54963607	55122505	158899	263	58.2
RG	04_NHS_Z_1866_23_31	CM038399.1	55328932	55633509	304578	506	55.8
RG	04_NHS_Z_1866_23_31	CM038399.1	55994585	56453248	458664	790	84.7
RG	04_NHS_Z_1866_23_31	CM038399.1	57503223	57736509	233287	373	31.8
RG	04_NHS_Z_1866_23_31	CM038399.1	59893071	60587013	693943	878	67.0
RG	04_NHS_Z_1866_23_31	CM038399.1	60691488	61530901	839414	1305	76.4
RG	04_NHS_Z_1866_23_31	CM038399.1	63203024	63458241	255218	334	66.9
RG	04_NHS_Z_1866_23_31	CM038399.1	63969143	64946070	976928	917	12.3
RG	04_NHS_Z_1866_23_31	CM038399.1	67310954	67739656	428703	629	64.4
RG	04_NHS_Z_1866_23_31	CM038399.1	70908685	71170479	261795	373	47.3
RG	04_NHS_Z_1866_23_31	CM038399.1	71440712	71588736	148025	444	25.0
RG	04_NHS_Z_1866_23_31	CM038399.1	72545231	73015578	470348	788	73.9
RG	04_NHS_Z_1866_23_31	CM038399.1	73100691	73890939	790249	821	85.5
RG	04_NHS_Z_1866_23_31	CM038399.1	74710673	74888904	178232	309	72.9
RG	04_NHS_Z_1866_23_31	CM038399.1	76560115	77292544	732430	1275	93.2
RG	04_NHS_Z_1866_23_31	CM038399.1	77813825	78142924	329100	516	78.2
RG	04_NHS_Z_1866_23_31	CM038399.1	79058021	79688489	630469	1547	81.2
RG	04_NHS_Z_1866_23_31	CM038399.1	79868102	80524609	656508	1067	83.9
RG	04_NHS_Z_1866_23_31	CM038399.1	81347782	81556148	208367	374	54.0
RG	04_NHS_Z_1866_23_31	CM038399.1	82473797	83047167	573371	755	78.9
RG	04_NHS_Z_1866_23_31	CM038399.1	85297246	86732322	1435077	2705	72.2
RG	04_NHS_Z_1866_23_31	CM038399.1	87418271	87981535	563265	1280	73.9
RG	04_NHS_Z_1866_23_31	CM038399.1	91413557	91542753	129197	319	14.4
RG	04_NHS_Z_1866_23_31	CM038399.1	92023866	92342601	318736	779	77.1
RG	04_NHS_Z_1866_23_31	CM038399.1	95750969	95913439	162471	489	51.5
RG	04_NHS_Z_1866_23_31	CM038399.1	98219898	102073931	3854034	10275	96.9
RG	04_NHS_Z_1866_23_31	CM038399.1	102107854	103125628	1017775	2391	86.4
RG	04_NHS_Z_1866_23_31	CM038399.1	104373381	104530556	157176	365	55.5
RG	04_NHS_Z_1866_23_31	CM038399.1	105146819	105166917	20099	63	51.0
RG	04_NHS_Z_1866_23_31	CM038399.1	105370554	105437726	67173	108	64.7
RG	04_NHS_Z_1866_23_31	CM038399.1	106069061	106353872	284812	801	79.5
RG	04_NHS_Z_1866_23_31	CM038399.1	109189352	115255495	6066144	7401	95.7
RG	04_NHS_Z_1866_23_31	CM038399.1	116201801	118386615	2184815	3605	96.6
RG	04_NHS_Z_1866_23_31	CM038399.1	119382363	119749894	367532	349	59.5
RG	04_NHS_Z_1866_23_31	CM038399.1	122490135	122801790	311656	464	21.6
RG	04_NHS_Z_1866_23_31	CM038399.1	125306880	125454769	147890	317	55.1
RG	04_NHS_Z_1866_23_31	CM038399.1	126764791	130442199	3677409	6167	97.0
RG	04_NHS_Z_1866_23_31	CM038399.1	132622146	132754270	132125	239	58.2
RG	04_NHS_Z_1866_23_31	CM038399.1	133734129	134136064	401936	568	39.1
RG	04_NHS_Z_1866_23_31	CM038399.1	135067316	135161734	94419	212	21.5
RG	04_NHS_Z_1866_23_31	CM038399.1	135860818	138933873	3073056	5867	96.6
RG	04_NHS_Z_1866_23_31	CM038399.1	140124186	140261672	137487	477	73.4
RG	04_NHS_Z_1866_23_31	CM038399.1	141926556	142012715	86160	229	26.2
RG	04_NHS_Z_1866_23_31	CM038399.1	142072230	142174029	101800	345	25.7
RG	05_FMNH_69936	CM038399.1	1331453	2699365	1367913	1409	40.8
RG	05_FMNH_69936	CM038399.1	2891349	3726191	834843	589	73.5
RG	05_FMNH_69936	CM038399.1	7417131	7609793	192663	202	9.5
RG	05_FMNH_69936	CM038399.1	8020464	8417278	396815	553	78.0
RG	05_FMNH_69936	CM038399.1	8607596	20153616	11546021	11195	92.3
RG	05_FMNH_69936	CM038399.1	20368064	20899728	531665	616	86.5
RG	05_FMNH_69936	CM038399.1	22476513	22711670	235158	310	60.3
RG	05_FMNH_69936	CM038399.1	24059951	27384847	3324897	2616	84.9
RG	05_FMNH_69936	CM038399.1	28818438	29231357	412920	510	74.5
RG	05_FMNH_69936	CM038399.1	29433687	29976107	542421	556	82.8
RG	05_FMNH_69936	CM038399.1	30216277	30681351	465075	528	51.8
RG	05_FMNH_69936	CM038399.1	32979741	33387386	407646	470	54.4
RG	05_FMNH_69936	CM038399.1	34964899	35307876	342978	413	82.7
RG	05_FMNH_69936	CM038399.1	36951446	39894957	2943512	3074	92.8
RG	05_FMNH_69936	CM038399.1	41137461	42250912	1113452	967	80.9
RG	05_FMNH_69936	CM038399.1	43847645	47244057	3396413	3300	84.7
RG	05_FMNH_69936	CM038399.1	48397178	49059054	661877	786	67.3
RG	05_FMNH_69936	CM038399.1	49364968	50055849	690882	965	87.1
RG	05_FMNH_69936	CM038399.1	51431898	52350054	918157	902	60.6
RG	05_FMNH_69936	CM038399.1	53045067	53322045	276979	284	39.2
RG	05_FMNH_69936	CM038399.1	54383468	54824172	440705	446	42.8
RG	05_FMNH_69936	CM038399.1	55068067	55374959	306893	445	70.7
RG	05_FMNH_69936	CM038399.1	55709103	55949177	240075	233	63.4
RG	05_FMNH_69936	CM038399.1	56298437	56918905	620469	610	47.3
RG	05_FMNH_69936	CM038399.1	57953729	59268637	1314909	856	82.2
RG	05_FMNH_69936	CM038399.1	59968522	61516370	1547849	1741	92.7
RG	05_FMNH_69936	CM038399.1	62109108	63063609	954502	674	10.8
RG	05_FMNH_69936	CM038399.1	67585512	67627401	41890	62	14.5
RG	05_FMNH_69936	CM038399.1	68657477	70176291	1518815	1292	69.6
RG	05_FMNH_69936	CM038399.1	71788655	71905115	116461	230	61.4
RG	05_FMNH_69936	CM038399.1	73038182	73919657	881476	649	79.3
RG	05_FMNH_69936	CM038399.1	74792667	75773900	981234	1065	80.1
RG	05_FMNH_69936	CM038399.1	76561738	76856142	294405	365	91.6
RG	05_FMNH_69936	CM038399.1	77085837	77823155	737319	803	71.0
RG	05_FMNH_69936	CM038399.1	78414743	78971626	556884	838	37.1
RG	05_FMNH_69936	CM038399.1	79484346	79809620	325275	509	13.9
RG	05_FMNH_69936	CM038399.1	80042340	80694176	651837	592	67.4
RG	05_FMNH_69936	CM038399.1	81409277	81556148	146872	216	26.4
RG	05_FMNH_69936	CM038399.1	82666321	83000508	334188	313	59.5
RG	05_FMNH_69936	CM038399.1	83605400	85122683	1517284	1910	89.5
RG	05_FMNH_69936	CM038399.1	85477933	86549175	1071243	1452	60.7
RG	05_FMNH_69936	CM038399.1	87136763	87981535	844773	1230	74.4
RG	05_FMNH_69936	CM038399.1	88038054	88329828	291775	449	34.0
RG	05_FMNH_69936	CM038399.1	90082017	90426014	343998	487	70.4
RG	05_FMNH_69936	CM038399.1	90706865	91298803	591939	711	70.1
RG	05_FMNH_69936	CM038399.1	91788923	92852328	1063406	1640	76.2
RG	05_FMNH_69936	CM038399.1	93946379	93990476	44098	86	60.7
RG	05_FMNH_69936	CM038399.1	94054521	94654051	599531	869	85.2
RG	05_FMNH_69936	CM038399.1	95884315	98258457	2374143	3987	70.3
RG	05_FMNH_69936	CM038399.1	98789020	99454050	665031	941	78.7
RG	05_FMNH_69936	CM038399.1	100081017	100267996	186980	432	76.7
RG	05_FMNH_69936	CM038399.1	100479500	101227075	747576	1205	86.7
RG	05_FMNH_69936	CM038399.1	102161610	102672418	510809	806	41.6
RG	05_FMNH_69936	CM038399.1	104435464	105145741	710278	934	64.2
RG	05_FMNH_69936	CM038399.1	105536880	106181778	644899	1042	84.0
RG	05_FMNH_69936	CM038399.1	109166628	113564498	4397871	3707	95.2
RG	05_FMNH_69936	CM038399.1	114612528	115115563	503036	584	67.6
RG	05_FMNH_69936	CM038399.1	117317875	119295224	1977350	2361	89.0
RG	05_FMNH_69936	CM038399.1	124694097	124890750	196654	276	78.9
RG	05_FMNH_69936	CM038399.1	124953412	125721920	768509	897	78.2
RG	05_FMNH_69936	CM038399.1	125880776	126617511	736736	1070	79.2
RG	05_FMNH_69936	CM038399.1	126717575	127301104	583530	813	76.7
RG	05_FMNH_69936	CM038399.1	127804066	128246331	442266	829	71.3
RG	05_FMNH_69936	CM038399.1	128951489	130492454	1540966	1183	72.6
RG	05_FMNH_69936	CM038399.1	131115171	131899095	783925	701	93.0
RG	05_FMNH_69936	CM038399.1	132714624	133419851	705228	1062	91.1
RG	05_FMNH_69936	CM038399.1	133818279	135924504	2106226	3458	92.9
RG	05_FMNH_69936	CM038399.1	137289976	139618842	2328867	2504	79.2
RG	05_FMNH_69936	CM038399.1	140226146	140275168	49023	112	23.2
RG	05_FMNH_69936	CM038399.1	141779212	141915382	136171	248	73.4
RG	05_FMNH_69936	CM038399.1	142088208	142432986	344779	751	96.3
RG	07_FMNH_69941	CM038399.1	559740	4237725	3677986	2332	84.6
RG	07_FMNH_69941	CM038399.1	4457269	5228013	770745	377	27.4
RG	07_FMNH_69941	CM038399.1	6613721	15428801	8815081	4634	89.2
RG	07_FMNH_69941	CM038399.1	15538020	30824623	15286604	8164	92.8
RG	07_FMNH_69941	CM038399.1	30951504	47357901	16406398	8273	91.3
RG	07_FMNH_69941	CM038399.1	47781048	53058677	5277630	2947	66.7
RG	07_FMNH_69941	CM038399.1	53364869	56892767	3527899	1996	75.9
RG	07_FMNH_69941	CM038399.1	57736879	63782319	6045441	2789	81.0
RG	07_FMNH_69941	CM038399.1	66548052	71965247	5417196	3208	89.9
RG	07_FMNH_69941	CM038399.1	73610566	86776717	13166152	9209	90.7
RG	07_FMNH_69941	CM038399.1	87082646	94660528	7577883	5603	82.5
RG	07_FMNH_69941	CM038399.1	94678851	101879800	7200950	5969	89.8
RG	07_FMNH_69941	CM038399.1	103101977	106820381	3718405	1937	73.9
RG	07_FMNH_69941	CM038399.1	107456772	123275648	15818877	7833	88.1
RG	07_FMNH_69941	CM038399.1	124434788	130552808	6118021	3613	88.7
RG	07_FMNH_69941	CM038399.1	132401347	140324722	7923376	5338	97.7
RG	07_FMNH_69941	CM038399.1	140764698	143257650	2492953	1576	83.9
RG	09_FMNH_69944	CM038399.1	587768	888810	301043	371	45.2
RG	09_FMNH_69944	CM038399.1	5459390	6223268	763879	538	22.7
RG	09_FMNH_69944	CM038399.1	6689141	8482604	1793464	1705	81.4
RG	09_FMNH_69944	CM038399.1	9958417	11673540	1715124	1213	77.2
RG	09_FMNH_69944	CM038399.1	14109805	14943778	833974	1124	91.6
RG	09_FMNH_69944	CM038399.1	16474080	18513803	2039724	2311	68.1
RG	09_FMNH_69944	CM038399.1	19727152	20041981	314830	247	58.1
RG	09_FMNH_69944	CM038399.1	20961220	21270569	309350	321	23.8
RG	09_FMNH_69944	CM038399.1	22614627	24393449	1778823	1839	90.3
RG	09_FMNH_69944	CM038399.1	26340595	29387465	3046871	3291	83.6
RG	09_FMNH_69944	CM038399.1	31535899	33908544	2372646	2434	97.8
RG	09_FMNH_69944	CM038399.1	35284712	36164352	879641	1045	85.6
RG	09_FMNH_69944	CM038399.1	36328548	38424075	2095528	1919	89.5
RG	09_FMNH_69944	CM038399.1	39014106	41756001	2741896	2910	88.0
RG	09_FMNH_69944	CM038399.1	43815686	44318893	503208	536	87.2
RG	09_FMNH_69944	CM038399.1	45096493	46009438	912946	1102	78.4
RG	09_FMNH_69944	CM038399.1	46426608	47088805	662198	863	55.8
RG	09_FMNH_69944	CM038399.1	47175351	47558430	383080	474	7.8
RG	09_FMNH_69944	CM038399.1	51077562	53313342	2235781	2524	88.9
RG	09_FMNH_69944	CM038399.1	53338313	56892767	3554455	4026	92.8
RG	09_FMNH_69944	CM038399.1	56931566	63758451	6826886	6266	95.6
RG	09_FMNH_69944	CM038399.1	63859940	72004951	8145012	8032	96.6
RG	09_FMNH_69944	CM038399.1	72253475	80866838	8613364	10848	93.2
RG	09_FMNH_69944	CM038399.1	81212357	81544388	332032	430	80.0
RG	09_FMNH_69944	CM038399.1	82374864	83187369	812506	1032	78.3
RG	09_FMNH_69944	CM038399.1	83424865	85240045	1815181	2513	80.8
RG	09_FMNH_69944	CM038399.1	85387508	85838168	450661	841	89.9
RG	09_FMNH_69944	CM038399.1	87338474	87699901	361428	564	30.6
RG	09_FMNH_69944	CM038399.1	87892370	89010841	1118472	1532	87.8
RG	09_FMNH_69944	CM038399.1	89554188	89976369	422182	594	36.8
RG	09_FMNH_69944	CM038399.1	90071013	90409398	338386	470	66.7
RG	09_FMNH_69944	CM038399.1	91147589	91810506	662918	799	71.7
RG	09_FMNH_69944	CM038399.1	92122272	93219657	1097386	1707	74.7
RG	09_FMNH_69944	CM038399.1	94142879	94670238	527360	774	66.7
RG	09_FMNH_69944	CM038399.1	95907623	96606776	699154	1264	52.7
RG	09_FMNH_69944	CM038399.1	97545530	98027752	482223	938	76.3
RG	09_FMNH_69944	CM038399.1	98455948	98867924	411977	791	77.7
RG	09_FMNH_69944	CM038399.1	99884485	101985420	2100936	3237	76.6
RG	09_FMNH_69944	CM038399.1	102355076	102672139	317064	401	35.0
RG	09_FMNH_69944	CM038399.1	103072751	106819198	3746448	4190	88.6
RG	09_FMNH_69944	CM038399.1	107404181	108676222	1272042	835	50.3
RG	09_FMNH_69944	CM038399.1	109162961	109734878	571918	592	66.8
RG	09_FMNH_69944	CM038399.1	110064535	110932067	867533	586	72.9
RG	09_FMNH_69944	CM038399.1	112354333	113983867	1629535	1469	80.4
RG	09_FMNH_69944	CM038399.1	115445648	116477322	1031675	1214	42.1
RG	09_FMNH_69944	CM038399.1	116859764	117328881	469118	615	78.8
RG	09_FMNH_69944	CM038399.1	117519710	118341632	821923	914	76.4
RG	09_FMNH_69944	CM038399.1	119036856	119582051	545196	610	70.1
RG	09_FMNH_69944	CM038399.1	121448295	122119269	670975	326	29.6
RG	09_FMNH_69944	CM038399.1	124547802	124902504	354703	434	51.8
RG	09_FMNH_69944	CM038399.1	125793603	126927298	1133696	1591	75.1
RG	09_FMNH_69944	CM038399.1	127489416	128032452	543037	593	25.2
RG	09_FMNH_69944	CM038399.1	128461542	129327499	865958	839	74.0
RG	09_FMNH_69944	CM038399.1	130907503	132036367	1128865	985	32.2
RG	09_FMNH_69944	CM038399.1	132135200	133814148	1678949	1933	67.9
RG	09_FMNH_69944	CM038399.1	134943883	138640262	3696380	4619	83.0
RG	09_FMNH_69944	CM038399.1	139686465	140023731	337267	397	42.4
RG	09_FMNH_69944	CM038399.1	141457510	142083679	626170	794	91.4
RG	09_FMNH_69944	CM038399.1	142284986	143271687	986702	1160	95.9
RG	11_FMNH_69264	CM038399.1	588329	1603440	1015112	1180	82.7
RG	11_FMNH_69264	CM038399.1	5317881	7107893	1790013	1606	90.6
RG	11_FMNH_69264	CM038399.1	7136195	7555895	419701	411	76.2
RG	11_FMNH_69264	CM038399.1	8892020	9933815	1041796	1246	89.0
RG	11_FMNH_69264	CM038399.1	11490206	12235726	745521	683	82.1
RG	11_FMNH_69264	CM038399.1	13634760	13907330	272571	256	64.6
RG	11_FMNH_69264	CM038399.1	15410284	17038756	1628473	1836	80.4
RG	11_FMNH_69264	CM038399.1	17941219	18834690	893472	948	74.6
RG	11_FMNH_69264	CM038399.1	19450712	20324538	873827	733	76.9
RG	11_FMNH_69264	CM038399.1	21145120	23214952	2069833	2198	95.0
RG	11_FMNH_69264	CM038399.1	23809164	25654570	1845407	1246	75.3
RG	11_FMNH_69264	CM038399.1	26948746	27105108	156363	151	57.1
RG	11_FMNH_69264	CM038399.1	27291492	30007153	2715662	3102	82.2
RG	11_FMNH_69264	CM038399.1	33840098	36102000	2261903	2160	68.6
RG	11_FMNH_69264	CM038399.1	38904471	39416880	512410	501	16.6
RG	11_FMNH_69264	CM038399.1	39594901	40021477	426577	557	73.1
RG	11_FMNH_69264	CM038399.1	41444930	42188793	743864	725	61.5
RG	11_FMNH_69264	CM038399.1	42642055	47203205	4561151	4626	85.3
RG	11_FMNH_69264	CM038399.1	49108920	49299923	191004	200	50.3
RG	11_FMNH_69264	CM038399.1	49523781	49965525	441745	586	46.0
RG	11_FMNH_69264	CM038399.1	51065493	51501142	435650	515	64.9
RG	11_FMNH_69264	CM038399.1	52425560	53333819	908260	1147	42.4
RG	11_FMNH_69264	CM038399.1	56319548	57534678	1215131	1164	23.1
RG	11_FMNH_69264	CM038399.1	58121172	59268637	1147466	800	74.6
RG	11_FMNH_69264	CM038399.1	60098993	60913216	814224	894	58.9
RG	11_FMNH_69264	CM038399.1	63197807	63647491	449685	451	62.8
RG	11_FMNH_69264	CM038399.1	67846000	68346254	500255	740	54.9
RG	11_FMNH_69264	CM038399.1	69391654	71124926	1733273	1648	83.3
RG	11_FMNH_69264	CM038399.1	71651811	72007655	355845	683	68.6
RG	11_FMNH_69264	CM038399.1	74800609	75559589	758981	776	67.9
RG	11_FMNH_69264	CM038399.1	76796035	77295126	499092	540	53.5
RG	11_FMNH_69264	CM038399.1	77552728	79473176	1920449	2926	49.2
RG	11_FMNH_69264	CM038399.1	79697844	79840141	142298	259	10.3
RG	11_FMNH_69264	CM038399.1	80489004	85830912	5341909	7713	92.5
RG	11_FMNH_69264	CM038399.1	86265955	87252978	987024	1324	79.5
RG	11_FMNH_69264	CM038399.1	87999188	89386124	1386937	2031	73.7
RG	11_FMNH_69264	CM038399.1	89771609	90188805	417197	700	75.5
RG	11_FMNH_69264	CM038399.1	91274699	91953990	679292	908	85.8
RG	11_FMNH_69264	CM038399.1	92617714	94566195	1948482	2965	71.5
RG	11_FMNH_69264	CM038399.1	94924674	95682220	757547	1368	66.5
RG	11_FMNH_69264	CM038399.1	96044621	97472122	1427502	2436	76.0
RG	11_FMNH_69264	CM038399.1	98399441	100329499	1930059	3823	76.0
RG	11_FMNH_69264	CM038399.1	100790235	102054216	1263982	2198	85.4
RG	11_FMNH_69264	CM038399.1	103955522	106596886	2641365	3957	93.0
RG	11_FMNH_69264	CM038399.1	107028220	107112899	84680	194	74.5
RG	11_FMNH_69264	CM038399.1	107175389	107193407	18019	97	12.1
RG	11_FMNH_69264	CM038399.1	107404181	115432243	8028063	6887	94.9
RG	11_FMNH_69264	CM038399.1	115438664	116486337	1047674	1262	79.3
RG	11_FMNH_69264	CM038399.1	116647285	118938907	2291623	2714	84.7
RG	11_FMNH_69264	CM038399.1	122490135	123275521	785387	778	83.2
RG	11_FMNH_69264	CM038399.1	124168350	132088202	7919853	10165	97.6
RG	11_FMNH_69264	CM038399.1	132132407	134370834	2238428	3073	95.6
RG	11_FMNH_69264	CM038399.1	134552165	135112130	559966	939	65.6
RG	11_FMNH_69264	CM038399.1	135252876	136050177	797302	1330	68.4
RG	11_FMNH_69264	CM038399.1	136247632	136410464	162833	302	13.4
RG	11_FMNH_69264	CM038399.1	137755258	138819564	1064307	1086	89.1
RG	11_FMNH_69264	CM038399.1	140040663	140311059	270397	530	17.7
RG	11_FMNH_69264	CM038399.1	140759282	142607404	1848123	2708	88.3
RG	12_FMNH_69265	CM038399.1	1503135	2365783	862649	1347	75.9
RG	12_FMNH_69265	CM038399.1	7372460	7766724	394265	498	58.2
RG	12_FMNH_69265	CM038399.1	8629201	9257659	628459	998	80.5
RG	12_FMNH_69265	CM038399.1	13745339	14311448	566110	923	82.5
RG	12_FMNH_69265	CM038399.1	14515539	14957341	441803	771	41.0
RG	12_FMNH_69265	CM038399.1	16301726	17667709	1365984	2120	58.7
RG	12_FMNH_69265	CM038399.1	17963005	18406257	443253	484	49.8
RG	12_FMNH_69265	CM038399.1	20769898	21112119	342222	456	47.1
RG	12_FMNH_69265	CM038399.1	21907181	23375927	1468747	1566	61.6
RG	12_FMNH_69265	CM038399.1	24164979	24795801	630823	431	46.3
RG	12_FMNH_69265	CM038399.1	29723998	29894526	170529	216	14.9
RG	12_FMNH_69265	CM038399.1	30927888	31296281	368394	801	85.5
RG	12_FMNH_69265	CM038399.1	33015840	33363206	347367	502	79.1
RG	12_FMNH_69265	CM038399.1	41168307	42722334	1554028	1597	81.6
RG	12_FMNH_69265	CM038399.1	45536981	46031368	494388	494	70.8
RG	12_FMNH_69265	CM038399.1	46240314	46692331	452018	538	34.7
RG	12_FMNH_69265	CM038399.1	54058498	54152394	93897	183	74.1
RG	12_FMNH_69265	CM038399.1	54883539	55314666	431128	771	69.0
RG	12_FMNH_69265	CM038399.1	55992029	56322911	330883	421	72.6
RG	12_FMNH_69265	CM038399.1	59477027	59994144	517118	528	23.7
RG	12_FMNH_69265	CM038399.1	60620103	61209837	589735	777	28.0
RG	12_FMNH_69265	CM038399.1	62199447	63463598	1264152	1257	84.6
RG	12_FMNH_69265	CM038399.1	68973743	69790939	817197	999	23.2
RG	12_FMNH_69265	CM038399.1	74298544	74798525	499982	851	43.7
RG	12_FMNH_69265	CM038399.1	74855956	75583277	727322	939	75.5
RG	12_FMNH_69265	CM038399.1	76561283	76795524	234242	473	74.0
RG	12_FMNH_69265	CM038399.1	77865584	87802761	9937178	16567	97.6
RG	12_FMNH_69265	CM038399.1	87992976	88400882	407907	832	61.1
RG	12_FMNH_69265	CM038399.1	88570986	90426014	1855029	3742	91.4
RG	12_FMNH_69265	CM038399.1	90760213	92405866	1645654	3178	68.8
RG	12_FMNH_69265	CM038399.1	93227324	94017751	790428	1433	85.3
RG	12_FMNH_69265	CM038399.1	94257302	94670238	412937	869	86.9
RG	12_FMNH_69265	CM038399.1	94938106	95689560	751455	1939	69.8
RG	12_FMNH_69265	CM038399.1	95751178	95930046	178869	534	50.2
RG	12_FMNH_69265	CM038399.1	96023519	97053609	1030091	2615	95.2
RG	12_FMNH_69265	CM038399.1	97178801	99740166	2561366	6260	95.0
RG	12_FMNH_69265	CM038399.1	100098775	100236524	137750	500	25.9
RG	12_FMNH_69265	CM038399.1	107043003	107112893	69891	254	87.5
RG	12_FMNH_69265	CM038399.1	108304558	109055541	750984	586	67.2
RG	12_FMNH_69265	CM038399.1	109299719	109736246	436528	460	20.5
RG	12_FMNH_69265	CM038399.1	110016534	110486933	470400	400	35.1
RG	12_FMNH_69265	CM038399.1	111444230	111859103	414874	364	69.2
RG	12_FMNH_69265	CM038399.1	115663436	115949847	286412	419	43.2
RG	12_FMNH_69265	CM038399.1	117206434	117393850	187417	252	62.5
RG	12_FMNH_69265	CM038399.1	127101472	128393856	1292385	2309	88.0
RG	12_FMNH_69265	CM038399.1	128530819	130526586	1995768	2483	85.4
RG	12_FMNH_69265	CM038399.1	131234770	132095629	860860	1321	45.4
RG	12_FMNH_69265	CM038399.1	132473265	132830896	357632	723	62.6
RG	12_FMNH_69265	CM038399.1	132926129	134939986	2013858	3947	95.6
RG	12_FMNH_69265	CM038399.1	135013315	135444842	431528	925	80.8
RG	12_FMNH_69265	CM038399.1	135501111	135807952	306842	686	64.4
RG	12_FMNH_69265	CM038399.1	142603559	142740062	136504	165	23.4
RG	12_FMNH_69265	CM038399.1	142810113	143054513	244401	429	71.8
RG	12_FMNH_69265	CM038399.1	143184111	143271687	87577	131	69.0
RG	13_FMNH_69267	CM038399.1	567441	1515717	948277	1447	57.1
RG	13_FMNH_69267	CM038399.1	3341813	3835162	493350	889	59.2
RG	13_FMNH_69267	CM038399.1	5400464	6231660	831197	917	54.1
RG	13_FMNH_69267	CM038399.1	7561006	7820507	259502	346	59.9
RG	13_FMNH_69267	CM038399.1	8344160	8755567	411408	866	83.3
RG	13_FMNH_69267	CM038399.1	8877158	9619157	742000	1281	90.2
RG	13_FMNH_69267	CM038399.1	9704005	9937642	233638	388	86.7
RG	13_FMNH_69267	CM038399.1	13399491	13557651	158161	282	69.0
RG	13_FMNH_69267	CM038399.1	14651331	14929863	278533	517	85.2
RG	13_FMNH_69267	CM038399.1	15952077	17009989	1057913	1737	88.0
RG	13_FMNH_69267	CM038399.1	18514761	18683359	168599	228	20.9
RG	13_FMNH_69267	CM038399.1	19400938	20145399	744462	750	72.8
RG	13_FMNH_69267	CM038399.1	20324264	20801926	477663	703	80.6
RG	13_FMNH_69267	CM038399.1	21218626	21479664	261039	476	76.6
RG	13_FMNH_69267	CM038399.1	21755999	21852555	96557	201	41.8
RG	13_FMNH_69267	CM038399.1	24832602	25335849	503248	459	20.5
RG	13_FMNH_69267	CM038399.1	26325785	26492887	167103	215	46.0
RG	13_FMNH_69267	CM038399.1	26955186	27111976	156791	223	75.8
RG	13_FMNH_69267	CM038399.1	27458912	28616445	1157534	1865	85.3
